
Running tests for data/mivia/si6/rand/r005/Fri Mar  8 18:35:37 CET 2013
data/mivia/si6/rand/r005/20.A00;odcull=[1] 0.05;vf2_sub1=[1] 0.07;vf2=[1] 0.12
data/mivia/si6/rand/r005/20.A01;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.05
data/mivia/si6/rand/r005/20.A02;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A03;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A04;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A05;odcull=[12] 0.03;vf2_sub1=[12] 0.05;vf2=[12] 0.11
data/mivia/si6/rand/r005/20.A06;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A07;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A08;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A09;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A10;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.04
data/mivia/si6/rand/r005/20.A11;odcull=[2] 0.02;vf2_sub1=[2] 0.05;vf2=[2] 0.03
data/mivia/si6/rand/r005/20.A12;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.05
data/mivia/si6/rand/r005/20.A13;odcull=[1] 0.03;vf2_sub1=[1] 0.05;vf2=[1] 0.06
data/mivia/si6/rand/r005/20.A14;odcull=[4] 0.02;vf2_sub1=[4] 0.06;vf2=[4] 0.03
data/mivia/si6/rand/r005/20.A15;odcull=[96] 0.07;vf2_sub1=[96] 0.38;vf2=[96] 0.26
data/mivia/si6/rand/r005/20.A16;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.10
data/mivia/si6/rand/r005/20.A17;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A18;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.05
data/mivia/si6/rand/r005/20.A19;odcull=[2] 0.03;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A20;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.04
data/mivia/si6/rand/r005/20.A21;odcull=[4] 0.03;vf2_sub1=[4] 0.07;vf2=[4] 0.08
data/mivia/si6/rand/r005/20.A22;odcull=[2] 0.02;vf2_sub1=[2] 0.05;vf2=[2] 0.03
data/mivia/si6/rand/r005/20.A23;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.03
data/mivia/si6/rand/r005/20.A24;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.08
data/mivia/si6/rand/r005/20.A25;odcull=[4] 0.02;vf2_sub1=[4] 0.05;vf2=[4] 0.05
data/mivia/si6/rand/r005/20.A26;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.05
data/mivia/si6/rand/r005/20.A27;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A28;odcull=[5] 0.02;vf2_sub1=[5] 0.07;vf2=[5] 0.09
data/mivia/si6/rand/r005/20.A29;odcull=[3] 0.02;vf2_sub1=[3] 0.05;vf2=[3] 0.04
data/mivia/si6/rand/r005/20.A30;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A31;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A32;odcull=[6] 0.02;vf2_sub1=[6] 0.04;vf2=[6] 0.04
data/mivia/si6/rand/r005/20.A33;odcull=[4] 0.03;vf2_sub1=[4] 0.05;vf2=[4] 0.05
data/mivia/si6/rand/r005/20.A34;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A35;odcull=[8] 0.03;vf2_sub1=[8] 0.10;vf2=[8] 0.04
data/mivia/si6/rand/r005/20.A36;odcull=[4] 0.02;vf2_sub1=[4] 0.04;vf2=[4] 0.03
data/mivia/si6/rand/r005/20.A37;odcull=[2] 0.02;vf2_sub1=[2] 0.05;vf2=[2] 0.03
data/mivia/si6/rand/r005/20.A38;odcull=[12] 0.03;vf2_sub1=[12] 0.05;vf2=[12] 0.10
data/mivia/si6/rand/r005/20.A39;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A40;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.06
data/mivia/si6/rand/r005/20.A41;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.06
data/mivia/si6/rand/r005/20.A42;odcull=[2] 0.03;vf2_sub1=[2] 0.04;vf2=[2] 0.06
data/mivia/si6/rand/r005/20.A43;odcull=[1] 0.03;vf2_sub1=[1] 0.06;vf2=[1] 0.07
data/mivia/si6/rand/r005/20.A44;odcull=[1] 0.03;vf2_sub1=[1] 0.06;vf2=[1] 0.07
data/mivia/si6/rand/r005/20.A45;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A46;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.04
data/mivia/si6/rand/r005/20.A47;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.04
data/mivia/si6/rand/r005/20.A48;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A49;odcull=[4] 0.02;vf2_sub1=[4] 0.04;vf2=[4] 0.07
data/mivia/si6/rand/r005/20.A50;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A51;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.03
